occupation,industry,year,employment
Plant & Machine Operators & Assemblers,Services,2022,114.1
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2022,15.2
Plant & Machine Operators & Assemblers,Transportation & Storage,2022,84.2
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2022,2.3
Plant & Machine Operators & Assemblers,Information & Communications,2022,1.3
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2022,2
Plant & Machine Operators & Assemblers,Real Estate Services,2022,0.5
Plant & Machine Operators & Assemblers,Professional Services,2022,2.3
Plant & Machine Operators & Assemblers,Administrative & Support Services,2022,2.7
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2022,0.8
Plant & Machine Operators & Assemblers,Health & Social Services,2022,1
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2022,0.2
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2022,1.7
Plant & Machine Operators & Assemblers,Other Industries Nes,2022,1.3
"Cleaners, Labourers & Related Workers",All Industries,2022,158.4
"Cleaners, Labourers & Related Workers",Manufacturing,2022,11.1
"Cleaners, Labourers & Related Workers",Construction,2022,4.7
"Cleaners, Labourers & Related Workers",Services,2022,140.3
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2022,17.1
"Cleaners, Labourers & Related Workers",Transportation & Storage,2022,17.8
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2022,31.6
"Cleaners, Labourers & Related Workers",Information & Communications,2022,2
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2022,3.3
"Cleaners, Labourers & Related Workers",Real Estate Services,2022,6.4
"Cleaners, Labourers & Related Workers",Professional Services,2022,3.5
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2022,35.7
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2022,5
"Cleaners, Labourers & Related Workers",Health & Social Services,2022,8.4
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2022,2.1
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2022,7.6
"Cleaners, Labourers & Related Workers",Other Industries Nes,2022,2.3
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2022,55.8
"Cleaners, Labourers & Related Workers",Manufacturing,2022,0
"Cleaners, Labourers & Related Workers",Construction,2022,0.3
"Cleaners, Labourers & Related Workers",Services,2022,55.1
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2022,0.2
"Cleaners, Labourers & Related Workers",Transportation & Storage,2022,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2022,0
"Cleaners, Labourers & Related Workers",Information & Communications,2022,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2022,0.1
"Cleaners, Labourers & Related Workers",Real Estate Services,2022,0.1
"Cleaners, Labourers & Related Workers",Professional Services,2022,0.1
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2022,1.5
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2022,52.8
"Cleaners, Labourers & Related Workers",Health & Social Services,2022,0.1
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2022,0.1
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2022,0.2
"Cleaners, Labourers & Related Workers",Other Industries Nes,2022,0.5
"All Occupation Groups, (Total Employed Residents)",All Industries,2021,2286.5
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2021,212.1
"All Occupation Groups, (Total Employed Residents)",Construction,2021,98.4
"All Occupation Groups, (Total Employed Residents)",Services,2021,1952.6
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2021,338.6
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2021,200.6
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2021,125.2
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2021,120.4
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2021,225.2
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2021,51
"All Occupation Groups, (Total Employed Residents)",Professional Services,2021,196.5
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2021,120
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2021,315.6
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2021,152.9
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2021,33
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2021,73.5
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2021,23.4
Managers & Administrators (Including Working Proprietors),All Industries,2021,377.7
Managers & Administrators (Including Working Proprietors),Manufacturing,2021,39.4
Managers & Administrators (Including Working Proprietors),Construction,2021,24.3
Managers & Administrators (Including Working Proprietors),Services,2021,311
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2021,87
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2021,17.7
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2021,10
Managers & Administrators (Including Working Proprietors),Information & Communications,2021,30.1
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2021,47.8
Managers & Administrators (Including Working Proprietors),Real Estate Services,2021,5.7
Managers & Administrators (Including Working Proprietors),Professional Services,2021,42.8
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2021,12.6
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2021,34.4
Managers & Administrators (Including Working Proprietors),Health & Social Services,2021,9.7
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2021,4.2
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2021,9.1
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2021,2.9
Professionals,All Industries,2021,577.5
Professionals,Manufacturing,2021,52.6
Professionals,Construction,2021,15.8
Professionals,Services,2021,504
Professionals,Wholesale & Retail Trade,2021,53.3
Professionals,Transportation & Storage,2021,19.5
Professionals,Accommodation & Food Services,2021,2.5
Professionals,Information & Communications,2021,52.7
Professionals,Financial & Insurance Services,2021,92.8
Professionals,Real Estate Services,2021,5.5
Professionals,Professional Services,2021,79.7
Professionals,Administrative & Support Services,2021,11.2
Professionals,Public Administration & Education Services,2021,112.4
Professionals,Health & Social Services,2021,59.6
Professionals,"Arts, Entertainment & Recreation",2021,4.4
Professionals,"Other Community, Social & Personal Services",2021,10.4
Professionals,Other Industries Nes,2021,5.1
Associate Professionals & Technicians,All Industries,2021,465.8
Associate Professionals & Technicians,Manufacturing,2021,52
Associate Professionals & Technicians,Construction,2021,20.2
Associate Professionals & Technicians,Services,2021,387.3
Associate Professionals & Technicians,Wholesale & Retail Trade,2021,60.8
Associate Professionals & Technicians,Transportation & Storage,2021,32
Associate Professionals & Technicians,Accommodation & Food Services,2021,11.7
Associate Professionals & Technicians,Information & Communications,2021,23
Associate Professionals & Technicians,Financial & Insurance Services,2021,49.6
Associate Professionals & Technicians,Real Estate Services,2021,26.4
Associate Professionals & Technicians,Professional Services,2021,43.4
Associate Professionals & Technicians,Administrative & Support Services,2021,13.5
Associate Professionals & Technicians,Public Administration & Education Services,2021,70.2
Associate Professionals & Technicians,Health & Social Services,2021,34.3
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2021,9.7
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2021,12.7
Associate Professionals & Technicians,Other Industries Nes,2021,6.3
Clerical Support Workers,All Industries,2021,223.4
Clerical Support Workers,Manufacturing,2021,17.8
Clerical Support Workers,Construction,2021,13.1
Clerical Support Workers,Services,2021,190.6
Clerical Support Workers,Wholesale & Retail Trade,2021,39.8
Clerical Support Workers,Transportation & Storage,2021,21.8
Clerical Support Workers,Accommodation & Food Services,2021,8.4
Clerical Support Workers,Information & Communications,2021,8.7
Clerical Support Workers,Financial & Insurance Services,2021,24.5
Clerical Support Workers,Real Estate Services,2021,6
Clerical Support Workers,Professional Services,2021,19.7
Clerical Support Workers,Administrative & Support Services,2021,10.7
Clerical Support Workers,Public Administration & Education Services,2021,18.1
Clerical Support Workers,Health & Social Services,2021,18.5
Clerical Support Workers,"Arts, Entertainment & Recreation",2021,4.1
Clerical Support Workers,"Other Community, Social & Personal Services",2021,10.3
Clerical Support Workers,Other Industries Nes,2021,1.9
Service & Sales Workers,All Industries,2021,239.2
Service & Sales Workers,Manufacturing,2021,8.3
Service & Sales Workers,Construction,2021,1.7
Service & Sales Workers,Services,2021,228.3
Service & Sales Workers,Wholesale & Retail Trade,2021,56.7
Service & Sales Workers,Transportation & Storage,2021,9.1
Service & Sales Workers,Accommodation & Food Services,2021,57.8
Service & Sales Workers,Information & Communications,2021,2.2
Service & Sales Workers,Financial & Insurance Services,2021,4.4
Service & Sales Workers,Real Estate Services,2021,2
Service & Sales Workers,Professional Services,2021,3
Service & Sales Workers,Administrative & Support Services,2021,27.4
Service & Sales Workers,Public Administration & Education Services,2021,20
Service & Sales Workers,Health & Social Services,2021,20.6
Service & Sales Workers,"Arts, Entertainment & Recreation",2021,8.2
Service & Sales Workers,"Other Community, Social & Personal Services",2021,16.9
Service & Sales Workers,Other Industries Nes,2021,0.9
Craftsmen & Related Trades Workers,All Industries,2021,57.9
Craftsmen & Related Trades Workers,Manufacturing,2021,16.3
Craftsmen & Related Trades Workers,Construction,2021,14
Craftsmen & Related Trades Workers,Services,2021,26.3
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2021,9.7
Craftsmen & Related Trades Workers,Transportation & Storage,2021,1.6
Craftsmen & Related Trades Workers,Accommodation & Food Services,2021,1.2
Craftsmen & Related Trades Workers,Information & Communications,2021,1
